Profile Cohort,PROFILE_GENDER_DESC,PROFILE_RESIDENCE_DESC,Years to Graduation,Admit Group,College,AwC,Ethnicity,YR4Code,YR4NUM,YR5Code,YR5NUM,YR6Code,YR6NUM,YRallCode,YRallNUM,Grad Semester1,DEGREE_DESC,Overall College,MAJOR_DESC,HONOR_DESC,Change College,Change Major,PROFILE_ADMISSIONS_POPULATION,PROFILE_COLLEGE_DESC,PROFILE_MAJOR_DESC,PROFILE_HIGH_SCHOOL_PERCENTILE,SCHOOL_SIZE,MAX(M),MAX(CR),MAX(W),MAX(M+CR),MAX(Total),CoreGPA,Round(CoreGPA),EnglGPA,Round(EnglGPA),MthGPA,Round(MthGPA),LabGPA,Round(LabGPA),FL-Subj,FL-GPA,Round(FL-GPA),AP CALC AB Score,AP CALC ABsub Score,AP CALC BC Score,AP CHEM Score,AP PHYS B Score,AP PHYS Celec Score,AP PHYS Cmech Score
201110.0,Male,Non-Resident,5.0,II,9.0,29.0,2N,NYY,290.0,GYY,291.0,GYY,,GYY,,201510.0,BS,College of Technology,AVMG - Aviation Management,,YES,YES,B,College of Health & Human Sci,Pre Psychology,,,510.0,480.0,460.0,990.0,1450.0,2.54,2.5,2.13,2.1,2.83,2.8,2.03,2.0,FREN,2.57,2.6,,,,,,,
201110.0,Female,Non-Resident,0.0,II,1.0,21.0,2Y,N,210.0,N,210.0,N,,N,,,,,,,,,B,"College of Agriculture
",Pre Agr & Biol Engineering,71.0,87.0,510.0,540.0,530.0,1050.0,1580.0,3.44,3.4,3.8,3.8,2.77,2.8,3.47,3.5,FREN,3.5,3.5,,,,,,,
201110.0,Male,Resident,5.0,II,1.0,21.0,2Y,NNY,210.0,GNY,211.0,GNY,,GNY,,201510.0,BS,College of Agriculture,AGED - Agricultural Education,,NO,YES,B,"College of Agriculture
",Animal Science,67.0,755.0,550.0,440.0,500.0,990.0,1490.0,2.89,2.9,3.47,3.5,2.54,2.5,3.09,3.1,SPAN,1.78,1.8,,,,,,,
201110.0,Female,Non-Resident,4.0,II,1.0,21.0,2Y,GNY,211.0,GNY,211.0,GNY,,GNY,,201420.0,BS,College of Agriculture,ANAG - Animal Agribusiness,,NO,YES,B,"College of Agriculture
",Animal Science,,,560.0,610.0,550.0,1170.0,1720.0,3.54,3.5,3.7,3.7,3.57,3.6,3.57,3.6,SPAN,3.23,3.2,,,,,,,
201110.0,Female,Non-Resident,5.0,II,4.0,24.0,2Y,NYY,240.0,GYY,241.0,GYY,,GYY,,201520.0,BS,College of Health & Human Sci,PSYS - Psychological Sciences,Honors Program in Psych Sci,YES,YES,B,"College of Agriculture
",Wildlife,99.0,689.0,660.0,590.0,620.0,1250.0,1870.0,3.83,3.8,4.0,4.0,3.83,3.8,4.0,4.0,SPAN,3.67,3.7,5.0,,,,,,
201110.0,Male,Non-Resident,0.0,II,3.0,23.0,2Y,N,230.0,N,230.0,N,,N,,,,,,,,,B,College of Engineering,First Year Engineering,67.0,121.0,620.0,530.0,520.0,1150.0,1670.0,3.08,3.1,2.95,3.0,2.97,3.0,3.33,3.3,JAPN,3.58,3.6,,,,,3.0,,
201110.0,Male,Resident,5.0,II,1.0,21.0,2Y,NYY,210.0,GYY,211.0,GYY,,GYY,,201510.0,BS,College of Agriculture,CPSC - Crop Science,,YES,YES,B,College of Engineering,First Year Engineering,84.0,88.0,630.0,690.0,560.0,1320.0,1880.0,3.44,3.4,3.68,3.7,3.4,3.4,3.67,3.7,SPAN,2.5,2.5,,,,,,,
201110.0,Male,Resident,4.0,II,3.0,23.0,2Y,GNN,231.0,GNN,231.0,GNN,,GNN,,201420.0,BS,College of Engineering,MECH - Mechanical Engineering,,NO,NO,B,College of Engineering,Mechanical Engineering,81.0,95.0,630.0,630.0,590.0,1260.0,1850.0,3.65,3.7,3.55,3.6,3.9,3.9,3.73,3.7,SPAN,3.48,3.5,,,,,,,
201110.0,Male,Resident,4.0,II,3.0,23.0,2Y,GNN,231.0,GNN,231.0,GNN,,GNN,,201420.0,BS,College of Engineering,CHE - Chemical Engineering,,NO,NO,B,College of Engineering,Chemical Engineering,98.0,579.0,640.0,690.0,630.0,1330.0,1960.0,3.84,3.8,3.73,3.7,3.95,4.0,3.84,3.8,GERM,4.0,4.0,5.0,,,3.0,,,
201110.0,Male,Non-Resident,5.0,II,3.0,23.0,2Y,NNN,230.0,GNN,231.0,GNN,,GNN,,201520.0,BS,College of Engineering,ECEB - Electrical Engineering,,NO,NO,B,College of Engineering,Electrical Engineering,80.0,245.0,650.0,610.0,580.0,1260.0,1840.0,3.25,3.3,3.13,3.1,2.68,2.7,3.73,3.7,FREN,3.35,3.4,4.0,,,,2.0,,
201110.0,Male,Resident,0.0,II,3.0,23.0,2Y,N,230.0,N,230.0,N,,N,,,,,,,,,B,College of Engineering,First Year Engineering,89.0,361.0,660.0,620.0,560.0,1280.0,1840.0,3.24,3.2,3.34,3.3,3.07,3.1,3.17,3.2,SPAN,2.75,2.8,2.0,,,,,,
201110.0,Male,Non-Resident,4.0,II,3.0,23.0,2Y,GNN,231.0,GNN,231.0,GNN,,GNN,,201420.0,BS,College of Engineering,IE - Industrial Engineering,,NO,NO,B,College of Engineering,Industrial Engineering,,358.0,670.0,610.0,610.0,1280.0,1890.0,3.35,3.4,3.43,3.4,3.37,3.4,3.23,3.2,SPAN,3.1,3.1,,3.0,3.0,,,,2.0
201110.0,Female,Non-Resident,4.0,II,3.0,23.0,2Y,GNN,231.0,GNN,231.0,GNN,,GNN,,201420.0,BS,College of Engineering,ENRE - Environ & Natl Resources Engr,,NO,NO,B,College of Engineering,Environ & Natl Resources Engr,87.0,440.0,670.0,530.0,530.0,1200.0,1730.0,3.72,3.7,4.0,4.0,3.33,3.3,3.67,3.7,SPAN,4.0,4.0,,,,,,,
201110.0,Male,Resident,5.0,II,9.0,29.0,2Y,NYY,290.0,GYY,291.0,GYY,,GYY,,201520.0,BS,College of Technology,METC - Mechanical Engr Technology,,YES,YES,,College of Engineering,First Year Engineering,98.0,188.0,680.0,750.0,630.0,1430.0,2060.0,,,,,,,,,,,,,,,,,,
201110.0,Male,Resident,0.0,II,3.0,23.0,2Y,N,230.0,N,230.0,N,,N,,,,,,,,,B,College of Engineering,Computer Engineering,,299.0,800.0,800.0,710.0,1600.0,2310.0,3.93,3.9,3.91,3.9,4.0,4.0,3.93,3.9,SPAN,4.0,4.0,4.0,,,,,,
201110.0,Female,Non-Resident,4.0,II,4.0,24.0,2Y,GNN,241.0,GNN,241.0,GNN,,GNN,,201420.0,BS,College of Health & Human Sci,PSY - Psychology,,NO,NO,B,College of Health & Human Sci,Pre Psychology,93.0,660.0,510.0,510.0,550.0,1020.0,1570.0,3.87,3.9,4.0,4.0,3.5,3.5,3.83,3.8,SPAN,4.0,4.0,,,,,,,
201110.0,Female,Resident,4.0,II,4.0,24.0,2Y,GNN,241.0,GNN,241.0,GNN,,GNN,,201420.0,BS,College of Health & Human Sci,HTMT - Hospitality & Tourism Mgmt,,NO,NO,B,College of Health & Human Sci,Hospitality & Tourism Mgmt,86.0,417.0,520.0,580.0,440.0,1100.0,1540.0,3.52,3.5,3.57,3.6,3.44,3.4,3.73,3.7,FREN,3.25,3.3,,,,,,,
201110.0,Female,Resident,4.0,II,4.0,24.0,2Y,GNN,241.0,GNN,241.0,GNN,,GNN,,201420.0,BS,College of Health & Human Sci,NRS - Nursing,,NO,NO,B,College of Health & Human Sci,Nursing,87.0,579.0,550.0,570.0,660.0,1120.0,1780.0,3.3,3.3,3.35,3.4,3.37,3.4,2.79,2.8,SPAN,3.5,3.5,3.0,,,1.0,,,
201110.0,Female,Resident,4.0,II,4.0,24.0,2Y,GNN,241.0,GNN,241.0,GNN,,GNN,,201420.0,BS,College of Health & Human Sci,NRS - Nursing,,NO,NO,B,College of Health & Human Sci,Nursing,,,690.0,610.0,640.0,1300.0,1940.0,3.64,3.6,3.43,3.4,3.12,3.1,3.77,3.8,SPAN,4.0,4.0,,,,2.0,,,
201110.0,Female,Non-Resident,3.0,II,5.0,25.0,2Y,GYY,251.0,GYY,251.0,GYY,,GYY,,201320.0,BA,College of Liberal Arts,POL - Political Science,,YES,YES,B,College of Health & Human Sci,Retail Management,90.0,443.0,720.0,670.0,650.0,1390.0,2040.0,3.44,3.4,3.18,3.2,3.75,3.8,3.57,3.6,JAPN,2.93,2.9,,,,,,,
